template_id,domain_type,template_name,required_sections,directives,constraints,output_format,tone_policy,risk_baseline
TPL_PROJECT_SPEC_V1,project_spec,Project Spec v1,Goal|Inputs Required|Directives|Constraints|Output Format|Tone Policy|System Metrics,Clarify goal+audience then specify deliverable,No invented facts; ask missing info,Markdown with fixed headings,Clear and practical,low
TPL_ENGINEERING_V1,engineering,Engineering Spec v1,Goal|Inputs Required|Directives|Constraints|Output Format|Tone Policy|System Metrics,Request minimal repro + propose steps,No execution claims; no tool usage,Markdown + checklists,Precise and cautious,medium
TPL_CREATIVE_V1,creative,Creative Spec v1,Goal|Inputs Required|Directives|Constraints|Output Format|Tone Policy|System Metrics,Define style + constraints + variation knobs,Avoid clichés; stay within constraints,Markdown + examples blocks,Playful but controlled,low
TPL_PERSONA_V1,persona,Persona Spec v1,Goal|Inputs Required|Directives|Constraints|Output Format|Tone Policy|System Metrics,Specify voice+boundaries+behaviors,No unsafe roleplay; no external claims,Markdown + bullets,Distinct and consistent,low
TPL_DECISION_V1,decision_analysis,Decision Spec v1,Goal|Inputs Required|Directives|Constraints|Output Format|Tone Policy|System Metrics,Define options + criteria + scoring,No false certainty; show assumptions,Markdown + tables,Neutral and analytical,medium
TPL_SUPPORT_V1,customer_support,Support Spec v1,Goal|Inputs Required|Directives|Constraints|Output Format|Tone Policy|System Metrics,Ask for order/account context then resolve,No policy invention; avoid blame,Markdown with short response blocks,Empathetic and clear,medium
TPL_RESEARCH_SUMMARY_V1,research_summary,Research Summary v1,Goal|Inputs Required|Directives|Constraints|Output Format|Tone Policy|System Metrics,Extract key claims + limitations,No fabricated citations; mark uncertainty,Markdown with citations placeholder,Scholarly but readable,medium
TPL_DATA_OPS_V1,data_ops,Data Ops Spec v1,Goal|Inputs Required|Directives|Constraints|Output Format|Tone Policy|System Metrics,Define transformations + validation plan,No execution claims; preserve schema,Markdown + QA checklist,Methodical and exact,medium
TPL_MARKETING_COPY_V1,marketing_copy,Marketing Copy v1,Goal|Inputs Required|Directives|Constraints|Output Format|Tone Policy|System Metrics,Positioning + messages + variants,No unverifiable claims; no hype inflation,Markdown sections for copy,Confident and crisp,low
TPL_LEGAL_COMMS_V1,legal_comms,Legal Comms Draft v1,Goal|Inputs Required|Directives|Constraints|Output Format|Tone Policy|System Metrics,Draft neutral message + disclaimers,Not legal advice; avoid threats,Markdown letter format,Formal and restrained,high
TPL_API_DESIGN_V1,engineering,API Design Spec v1,Goal|Inputs Required|Directives|Constraints|Output Format|Tone Policy|System Metrics,Define endpoints + contracts + error cases,No breaking changes; no hidden assumptions,Markdown with tables,Clear and systematic,medium
TPL_CODE_REVIEW_V1,engineering,Code Review Spec v1,Goal|Inputs Required|Directives|Constraints|Output Format|Tone Policy|System Metrics,Assess correctness + readability + risks,No execution claims; cite lines only,Markdown checklist,Constructive and precise,medium
TPL_ARCH_REVIEW_V1,engineering,Architecture Review v1,Goal|Inputs Required|Directives|Constraints|Output Format|Tone Policy|System Metrics,Map components + data flow + risks,No redesign without constraints,Markdown diagrams (ASCII),Analytical and cautious,medium
TPL_BUG_TRIAGE_V1,engineering,Bug Triage Spec v1,Goal|Inputs Required|Directives|Constraints|Output Format|Tone Policy|System Metrics,Reproduce + classify + prioritize,No root-cause claims without evidence,Markdown table,Neutral and factual,medium
TPL_SECURITY_REVIEW_V1,engineering,Security Review Spec v1,Goal|Inputs Required|Directives|Constraints|Output Format|Tone Policy|System Metrics,Identify threat surfaces + mitigations,No exploit instructions,Markdown risk table,Serious and restrained,high
TPL_SYSTEM_DESIGN_V1,engineering,System Design Spec v1,Goal|Inputs Required|Directives|Constraints|Output Format|Tone Policy|System Metrics,Clarify scale + tradeoffs + assumptions,No magic scaling claims,Markdown structured doc,Professional and exact,medium
TPL_CONTENT_BRIEF_V1,creative,Content Brief v1,Goal|Inputs Required|Directives|Constraints|Output Format|Tone Policy|System Metrics,Align message + audience + channel,Avoid vague goals,Markdown outline,Creative but grounded,low
TPL_BRAND_VOICE_V1,creative,Brand Voice Spec v1,Goal|Inputs Required|Directives|Constraints|Output Format|Tone Policy|System Metrics,Define tone rules + do/don'ts,No imitation of real brands,Markdown bullets,Distinct and consistent,low
TPL_VISUAL_ID_V1,creative,Visual Identity Spec v1,Goal|Inputs Required|Directives|Constraints|Output Format|Tone Policy|System Metrics,Define colors + typography + usage,No trademark conflicts,Markdown + swatches list,Clear and aesthetic,low
TPL_STORYBOARD_V1,creative,Storyboard Spec v1,Goal|Inputs Required|Directives|Constraints|Output Format|Tone Policy|System Metrics,Sequence scenes + intent,No cinematic guarantees,Markdown scene list,Evocative but precise,low
TPL_NAMING_V1,creative,Naming Spec v1,Goal|Inputs Required|Directives|Constraints|Output Format|Tone Policy|System Metrics,Generate options + rationale,Avoid existing trademarks,Markdown table,Playful but reasoned,low
TPL_USER_PERSONA_V1,persona,User Persona Spec v1,Goal|Inputs Required|Directives|Constraints|Output Format|Tone Policy|System Metrics,Define archetypes + motivations,No demographic stereotyping,Markdown profiles,Empathetic and neutral,low
TPL_AGENT_PERSONA_V1,persona,Agent Persona Spec v1,Goal|Inputs Required|Directives|Constraints|Output Format|Tone Policy|System Metrics,Define behavior + limits + style,No unsafe authority claims,Markdown sections,Controlled and aligned,low
TPL_ROLE_BOUNDARY_V1,persona,Role Boundary Spec v1,Goal|Inputs Required|Directives|Constraints|Output Format|Tone Policy|System Metrics,Specify allowed vs forbidden actions,No policy invention,Markdown ruleset,Strict and clear,medium
TPL_CONVERSATION_STYLE_V1,persona,Conversation Style Spec v1,Goal|Inputs Required|Directives|Constraints|Output Format|Tone Policy|System Metrics,Define pacing + verbosity + tone,No emotional manipulation,Markdown bullets,Balanced and natural,low
TPL_RISK_MATRIX_V1,decision_analysis,Risk Matrix Spec v1,Goal|Inputs Required|Directives|Constraints|Output Format|Tone Policy|System Metrics,Identify risks + likelihood + impact,No false quantification,Markdown table,Analytical and sober,medium
TPL_COST_BENEFIT_V1,decision_analysis,Cost Benefit Spec v1,Goal|Inputs Required|Directives|Constraints|Output Format|Tone Policy|System Metrics,Compare costs vs gains,State assumptions clearly,Markdown table,Neutral and analytical,medium
TPL_PRIORITY_STACK_V1,decision_analysis,Priority Stack Spec v1,Goal|Inputs Required|Directives|Constraints|Output Format|Tone Policy|System Metrics,Rank items with justification,No hidden weighting,Markdown list,Direct and rational,medium
TPL_SCENARIO_ANALYSIS_V1,decision_analysis,Scenario Analysis Spec v1,Goal|Inputs Required|Directives|Constraints|Output Format|Tone Policy|System Metrics,Explore best/worst/likely cases,No predictions as facts,Markdown sections,Measured and cautious,medium
TPL_INCIDENT_RESPONSE_V1,customer_support,Incident Response Spec v1,Goal|Inputs Required|Directives|Constraints|Output Format|Tone Policy|System Metrics,Acknowledge issue + next steps,No blame or speculation,Markdown response blocks,Calm and reassuring,high
TPL_REFUND_COMMS_V1,customer_support,Refund Comms Spec v1,Goal|Inputs Required|Directives|Constraints|Output Format|Tone Policy|System Metrics,Explain decision + policy basis,No policy invention,Markdown email,Empathetic and firm,medium
TPL_ESCALATION_V1,customer_support,Escalation Handling Spec v1,Goal|Inputs Required|Directives|Constraints|Output Format|Tone Policy|System Metrics,Collect facts + route correctly,No premature promises,Markdown steps,Professional and calm,medium
TPL_TECH_RESEARCH_V1,research_summary,Technical Research Summary v1,Goal|Inputs Required|Directives|Constraints|Output Format|Tone Policy|System Metrics,Summarize methods + limits,No fabricated benchmarks,Markdown structured summary,Academic but accessible,medium
TPL_LIT_REVIEW_V1,research_summary,Literature Review Spec v1,Goal|Inputs Required|Directives|Constraints|Output Format|Tone Policy|System Metrics,Synthesize themes + gaps,No fake citations,Markdown sections,Scholarly and neutral,medium
TPL_ETL_PIPELINE_V1,data_ops,ETL Pipeline Spec v1,Goal|Inputs Required|Directives|Constraints|Output Format|Tone Policy|System Metrics,Define extract/transform/load,Preserve data integrity,Markdown workflow,Exact and procedural,medium
TPL_DATA_VALIDATION_V1,data_ops,Data Validation Spec v1,Goal|Inputs Required|Directives|Constraints|Output Format|Tone Policy|System Metrics,Define checks + thresholds,No silent drops,Markdown checklist,Strict and methodical,medium
TPL_SCHEMA_MIGRATION_V1,data_ops,Schema Migration Spec v1,Goal|Inputs Required|Directives|Constraints|Output Format|Tone Policy|System Metrics,Plan migration + rollback,No data loss assumptions,Markdown steps,Cautious and precise,high
TPL_PRESS_RELEASE_V1,marketing_copy,Press Release Spec v1,Goal|Inputs Required|Directives|Constraints|Output Format|Tone Policy|System Metrics,Announce news + context,No exaggerated claims,Markdown PR format,Formal and confident,medium
TPL_EMAIL_CAMPAIGN_V1,marketing_copy,Email Campaign Spec v1,Goal|Inputs Required|Directives|Constraints|Output Format|Tone Policy|System Metrics,Define audience + CTA,No spam tactics,Markdown email variants,Clear and persuasive,low
TPL_SOCIAL_COPY_V1,marketing_copy,Social Media Copy Spec v1,Goal|Inputs Required|Directives|Constraints|Output Format|Tone Policy|System Metrics,Generate platform-specific posts,No engagement bait,Markdown snippets,Concise and sharp,low
TPL_POLICY_DRAFT_V1,legal_comms,Policy Draft Spec v1,Goal|Inputs Required|Directives|Constraints|Output Format|Tone Policy|System Metrics,Draft internal/external policy,Not legal advice,Markdown policy doc,Formal and conservative,high
TPL_TOS_SUMMARY_V1,legal_comms,TOS Summary Spec v1,Goal|Inputs Required|Directives|Constraints|Output Format|Tone Policy|System Metrics,Summarize terms in plain language,No reinterpretation,Markdown bullets,Clear and restrained,high
TPL_COMPLIANCE_NOTICE_V1,legal_comms,Compliance Notice Spec v1,Goal|Inputs Required|Directives|Constraints|Output Format|Tone Policy|System Metrics,Notify users of compliance matters,No threats,Markdown notice,Neutral and formal,high
