edge_id,src_atom_id,dst_atom_id,relation_type,rule_id,confidence,evidence_json,notes
EDGE:V1:000001,ATOM:prompt_template_catalogue_prompt_compiler_gardenier_agent:PROFILE:TPL_PROJECT_SPEC_V1,ATOM:domain_policy_prompt_compiler:PROFILE:project_spec,belongs_to_domain,R1_TEMPLATE_DOMAIN_MATCH,0.98,"{""domain_type"": ""project_spec"", ""template_id"": ""TPL_PROJECT_SPEC_V1""}",
EDGE:V1:000002,ATOM:prompt_template_catalogue_prompt_compiler_gardenier_agent:PROFILE:TPL_ENGINEERING_V1,ATOM:domain_policy_prompt_compiler:PROFILE:engineering,belongs_to_domain,R1_TEMPLATE_DOMAIN_MATCH,0.98,"{""domain_type"": ""engineering"", ""template_id"": ""TPL_ENGINEERING_V1""}",
EDGE:V1:000003,ATOM:prompt_template_catalogue_prompt_compiler_gardenier_agent:PROFILE:TPL_CREATIVE_V1,ATOM:domain_policy_prompt_compiler:PROFILE:creative,belongs_to_domain,R1_TEMPLATE_DOMAIN_MATCH,0.98,"{""domain_type"": ""creative"", ""template_id"": ""TPL_CREATIVE_V1""}",
EDGE:V1:000004,ATOM:prompt_template_catalogue_prompt_compiler_gardenier_agent:PROFILE:TPL_PERSONA_V1,ATOM:domain_policy_prompt_compiler:PROFILE:persona,belongs_to_domain,R1_TEMPLATE_DOMAIN_MATCH,0.98,"{""domain_type"": ""persona"", ""template_id"": ""TPL_PERSONA_V1""}",
EDGE:V1:000005,ATOM:prompt_template_catalogue_prompt_compiler_gardenier_agent:PROFILE:TPL_DECISION_V1,ATOM:domain_policy_prompt_compiler:PROFILE:decision_analysis,belongs_to_domain,R1_TEMPLATE_DOMAIN_MATCH,0.98,"{""domain_type"": ""decision_analysis"", ""template_id"": ""TPL_DECISION_V1""}",
EDGE:V1:000006,ATOM:prompt_template_catalogue_prompt_compiler_gardenier_agent:PROFILE:TPL_SUPPORT_V1,ATOM:domain_policy_prompt_compiler:PROFILE:customer_support,belongs_to_domain,R1_TEMPLATE_DOMAIN_MATCH,0.98,"{""domain_type"": ""customer_support"", ""template_id"": ""TPL_SUPPORT_V1""}",
EDGE:V1:000007,ATOM:prompt_template_catalogue_prompt_compiler_gardenier_agent:PROFILE:TPL_RESEARCH_SUMMARY_V1,ATOM:domain_policy_prompt_compiler:PROFILE:research_summary,belongs_to_domain,R1_TEMPLATE_DOMAIN_MATCH,0.98,"{""domain_type"": ""research_summary"", ""template_id"": ""TPL_RESEARCH_SUMMARY_V1""}",
EDGE:V1:000008,ATOM:prompt_template_catalogue_prompt_compiler_gardenier_agent:PROFILE:TPL_DATA_OPS_V1,ATOM:domain_policy_prompt_compiler:PROFILE:data_ops,belongs_to_domain,R1_TEMPLATE_DOMAIN_MATCH,0.98,"{""domain_type"": ""data_ops"", ""template_id"": ""TPL_DATA_OPS_V1""}",
EDGE:V1:000009,ATOM:prompt_template_catalogue_prompt_compiler_gardenier_agent:PROFILE:TPL_MARKETING_COPY_V1,ATOM:domain_policy_prompt_compiler:PROFILE:marketing_copy,belongs_to_domain,R1_TEMPLATE_DOMAIN_MATCH,0.98,"{""domain_type"": ""marketing_copy"", ""template_id"": ""TPL_MARKETING_COPY_V1""}",
EDGE:V1:000010,ATOM:prompt_template_catalogue_prompt_compiler_gardenier_agent:PROFILE:TPL_LEGAL_COMMS_V1,ATOM:domain_policy_prompt_compiler:PROFILE:legal_comms,belongs_to_domain,R1_TEMPLATE_DOMAIN_MATCH,0.98,"{""domain_type"": ""legal_comms"", ""template_id"": ""TPL_LEGAL_COMMS_V1""}",
EDGE:V1:000011,ATOM:prompt_template_catalogue_prompt_compiler_gardenier_agent:PROFILE:TPL_API_DESIGN_V1,ATOM:domain_policy_prompt_compiler:PROFILE:engineering,belongs_to_domain,R1_TEMPLATE_DOMAIN_MATCH,0.98,"{""domain_type"": ""engineering"", ""template_id"": ""TPL_API_DESIGN_V1""}",
EDGE:V1:000012,ATOM:prompt_template_catalogue_prompt_compiler_gardenier_agent:PROFILE:TPL_CODE_REVIEW_V1,ATOM:domain_policy_prompt_compiler:PROFILE:engineering,belongs_to_domain,R1_TEMPLATE_DOMAIN_MATCH,0.98,"{""domain_type"": ""engineering"", ""template_id"": ""TPL_CODE_REVIEW_V1""}",
EDGE:V1:000013,ATOM:prompt_template_catalogue_prompt_compiler_gardenier_agent:PROFILE:TPL_ARCH_REVIEW_V1,ATOM:domain_policy_prompt_compiler:PROFILE:engineering,belongs_to_domain,R1_TEMPLATE_DOMAIN_MATCH,0.98,"{""domain_type"": ""engineering"", ""template_id"": ""TPL_ARCH_REVIEW_V1""}",
