domain_type,description,required_sections,default_template_id,risk_baseline
project_spec,Structured project/product specification for stakeholders,Goal|Inputs Required|Directives|Constraints|Output Format|Tone Policy|System Metrics,TPL_PROJECT_SPEC_V1,low
engineering,Code review/refactor/debug specification prompt,Goal|Inputs Required|Directives|Constraints|Output Format|Tone Policy|System Metrics,TPL_ENGINEERING_V1,medium
creative,Constrained creative generation prompt spec,Goal|Inputs Required|Directives|Constraints|Output Format|Tone Policy|System Metrics,TPL_CREATIVE_V1,low
persona,System prompt/persona compiler specification,Goal|Inputs Required|Directives|Constraints|Output Format|Tone Policy|System Metrics,TPL_PERSONA_V1,low
decision_analysis,Trade-off framing and decision scoring spec,Goal|Inputs Required|Directives|Constraints|Output Format|Tone Policy|System Metrics,TPL_DECISION_V1,medium
customer_support,Customer support response spec with policy constraints,Goal|Inputs Required|Directives|Constraints|Output Format|Tone Policy|System Metrics,TPL_SUPPORT_V1,medium
research_summary,Research synthesis spec with citations requirement,Goal|Inputs Required|Directives|Constraints|Output Format|Tone Policy|System Metrics,TPL_RESEARCH_SUMMARY_V1,medium
data_ops,Dataset transformation/validation spec (non-execution),Goal|Inputs Required|Directives|Constraints|Output Format|Tone Policy|System Metrics,TPL_DATA_OPS_V1,medium
marketing_copy,Marketing copy + positioning spec,Goal|Inputs Required|Directives|Constraints|Output Format|Tone Policy|System Metrics,TPL_MARKETING_COPY_V1,low
legal_comms,Non-legal-advice drafting spec with disclaimers,Goal|Inputs Required|Directives|Constraints|Output Format|Tone Policy|System Metrics,TPL_LEGAL_COMMS_V1,high
ux_writing,User interface and UX microcopy specification,Goal|Inputs Required|Directives|Constraints|Output Format|Tone Policy|System Metrics,TPL_UX_WRITING_V1,low
product_strategy,Product roadmap and prioritization framing,Goal|Inputs Required|Directives|Constraints|Output Format|Tone Policy|System Metrics,TPL_PRODUCT_STRATEGY_V1,medium
technical_architecture,System architecture explanation and trade-offs,Goal|Inputs Required|Directives|Constraints|Output Format|Tone Policy|System Metrics,TPL_TECH_ARCH_V1,medium
ai_alignment,AI behavior alignment and safety framing,Goal|Inputs Required|Directives|Constraints|Output Format|Tone Policy|System Metrics,TPL_AI_ALIGNMENT_V1,high
evaluation_metrics,Model or system evaluation criteria definition,Goal|Inputs Required|Directives|Constraints|Output Format|Tone Policy|System Metrics,TPL_EVAL_METRICS_V1,medium
prompt_compilation,Prompt assembly and normalization specification,Goal|Inputs Required|Directives|Constraints|Output Format|Tone Policy|System Metrics,TPL_PROMPT_COMPILER_V1,low
