atom_id,atom_category,atom_type,primary_value,attributes_json,tags_json,source_dataset_id,source_row_id,source_line_no
ATOM:output_patterns_gardenier_prompt_compiler_agent:PROFILE:PAT-001,rule,output_pattern_profile,Standard SPO Markdown,"{""_reconstructed_from_len"": 6, ""notes"": ""Canonical full spec skeleton"", ""output_type"": ""SPO"", ""pattern_id"": ""PAT-001"", ""pattern_name"": ""Standard SPO Markdown"", ""raw_line"": ""PAT-001,SPO,Standard SPO Markdown,\""\""\""# Goal\\n\\n# Inputs Required\\n\\n# Directives\\n\\n# Constraints\\n\\n# Output Format\\n\\n# Tone Policy\\n\\n# System Metrics\""\""\"",Canonical full spec skeleton,low"", ""risk_baseline"": ""low"", ""skeleton"": ""# Goal\\n\\n# Inputs Required\\n\\n# Directives\\n\\n# Constraints\\n\\n# Output Format\\n\\n# Tone Policy\\n\\n# System Metrics""}","[""kind:output_pattern_profile"", ""output_type:SPO"", ""pattern_id:PAT-001"", ""risk:low""]",output_patterns_gardenier_prompt_compiler_agent,PAT-001,2
ATOM:output_patterns_gardenier_prompt_compiler_agent:SKELETON:PAT-001,pattern,skeleton,# Goal\n\n# Inputs Required\n\n# Directives\n\n# Constraints\n\n# Output Format\n\n# Tone Policy\n\n# System Metrics,"{""parent"": ""ATOM:output_patterns_gardenier_prompt_compiler_agent:PROFILE:PAT-001"", ""skeleton"": ""# Goal\\n\\n# Inputs Required\\n\\n# Directives\\n\\n# Constraints\\n\\n# Output Format\\n\\n# Tone Policy\\n\\n# System Metrics""}","[""kind:skeleton"", ""parent:PAT-001""]",output_patterns_gardenier_prompt_compiler_agent,PAT-001,2
ATOM:output_patterns_gardenier_prompt_compiler_agent:NOTES:PAT-001,rule,notes,Canonical full spec skeleton,"{""notes"": ""Canonical full spec skeleton"", ""parent"": ""ATOM:output_patterns_gardenier_prompt_compiler_agent:PROFILE:PAT-001""}","[""kind:notes"", ""parent:PAT-001""]",output_patterns_gardenier_prompt_compiler_agent,PAT-001,2
ATOM:output_patterns_gardenier_prompt_compiler_agent:RISK:PAT-001,value,risk_baseline,low,"{""parent"": ""ATOM:output_patterns_gardenier_prompt_compiler_agent:PROFILE:PAT-001"", ""risk_baseline"": ""low""}","[""kind:risk_baseline"", ""parent:PAT-001""]",output_patterns_gardenier_prompt_compiler_agent,PAT-001,2
ATOM:output_patterns_gardenier_prompt_compiler_agent:OUTPUT_TYPE:PAT-001,value,output_type,SPO,"{""output_type"": ""SPO"", ""parent"": ""ATOM:output_patterns_gardenier_prompt_compiler_agent:PROFILE:PAT-001""}","[""kind:output_type"", ""parent:PAT-001""]",output_patterns_gardenier_prompt_compiler_agent,PAT-001,2
ATOM:output_patterns_gardenier_prompt_compiler_agent:PROFILE:PAT-002,rule,output_pattern_profile,Compact SPO Markdown,"{""_reconstructed_from_len"": 6, ""notes"": ""Same headings; compressed bullets"", ""output_type"": ""SPO_compact"", ""pattern_id"": ""PAT-002"", ""pattern_name"": ""Compact SPO Markdown"", ""raw_line"": ""PAT-002,SPO_compact,Compact SPO Markdown,\""\""\""# Goal\\n- \\n# Inputs Required\\n- \\n# Directives\\n- \\n# Constraints\\n- \\n# Output Format\\n- \\n# Tone Policy\\n- \\n# System Metrics\\n- \""\""\"",Same headings; compressed bullets,low"", ""risk_baseline"": ""low"", ""skeleton"": ""# Goal\\n- \\n# Inputs Required\\n- \\n# Directives\\n- \\n# Constraints\\n- \\n# Output Format\\n- \\n# Tone Policy\\n- \\n# System Metrics\\n-""}","[""kind:output_pattern_profile"", ""output_type:SPO_compact"", ""pattern_id:PAT-002"", ""risk:low""]",output_patterns_gardenier_prompt_compiler_agent,PAT-002,3
ATOM:output_patterns_gardenier_prompt_compiler_agent:SKELETON:PAT-002,pattern,skeleton,# Goal\n- \n# Inputs Required\n- \n# Directives\n- \n# Constraints\n- \n# Output Format\n- \n# Tone Policy\n- \n# System Metrics\n-,"{""parent"": ""ATOM:output_patterns_gardenier_prompt_compiler_agent:PROFILE:PAT-002"", ""skeleton"": ""# Goal\\n- \\n# Inputs Required\\n- \\n# Directives\\n- \\n# Constraints\\n- \\n# Output Format\\n- \\n# Tone Policy\\n- \\n# System Metrics\\n-""}","[""kind:skeleton"", ""parent:PAT-002""]",output_patterns_gardenier_prompt_compiler_agent,PAT-002,3
ATOM:output_patterns_gardenier_prompt_compiler_agent:NOTES:PAT-002,rule,notes,Same headings; compressed bullets,"{""notes"": ""Same headings; compressed bullets"", ""parent"": ""ATOM:output_patterns_gardenier_prompt_compiler_agent:PROFILE:PAT-002""}","[""kind:notes"", ""parent:PAT-002""]",output_patterns_gardenier_prompt_compiler_agent,PAT-002,3
ATOM:output_patterns_gardenier_prompt_compiler_agent:RISK:PAT-002,value,risk_baseline,low,"{""parent"": ""ATOM:output_patterns_gardenier_prompt_compiler_agent:PROFILE:PAT-002"", ""risk_baseline"": ""low""}","[""kind:risk_baseline"", ""parent:PAT-002""]",output_patterns_gardenier_prompt_compiler_agent,PAT-002,3
ATOM:output_patterns_gardenier_prompt_compiler_agent:OUTPUT_TYPE:PAT-002,value,output_type,SPO_compact,"{""output_type"": ""SPO_compact"", ""parent"": ""ATOM:output_patterns_gardenier_prompt_compiler_agent:PROFILE:PAT-002""}","[""kind:output_type"", ""parent:PAT-002""]",output_patterns_gardenier_prompt_compiler_agent,PAT-002,3
ATOM:output_patterns_gardenier_prompt_compiler_agent:PROFILE:PAT-003,rule,output_pattern_profile,Mirror-Only SPO,"{""_reconstructed_from_len"": 6, ""notes"": ""No new facts; reformat only"", ""output_type"": ""SPO_mirror"", ""pattern_id"": ""PAT-003"", ""pattern_name"": ""Mirror-Only SPO"", ""raw_line"": ""PAT-003,SPO_mirror,Mirror-Only SPO,\""\""\""# Goal\\n\\n# Inputs Required\\n\\n# Directives\\n\\n# Constraints\\n\\n# Output Format\\n\\n# Tone Policy\\n\\n# System Metrics\""\""\"",No new facts; reformat only,low"", ""risk_baseline"": ""low"", ""skeleton"": ""# Goal\\n\\n# Inputs Required\\n\\n# Directives\\n\\n# Constraints\\n\\n# Output Format\\n\\n# Tone Policy\\n\\n# System Metrics""}","[""kind:output_pattern_profile"", ""output_type:SPO_mirror"", ""pattern_id:PAT-003"", ""risk:low""]",output_patterns_gardenier_prompt_compiler_agent,PAT-003,4
ATOM:output_patterns_gardenier_prompt_compiler_agent:SKELETON:PAT-003,pattern,skeleton,# Goal\n\n# Inputs Required\n\n# Directives\n\n# Constraints\n\n# Output Format\n\n# Tone Policy\n\n# System Metrics,"{""parent"": ""ATOM:output_patterns_gardenier_prompt_compiler_agent:PROFILE:PAT-003"", ""skeleton"": ""# Goal\\n\\n# Inputs Required\\n\\n# Directives\\n\\n# Constraints\\n\\n# Output Format\\n\\n# Tone Policy\\n\\n# System Metrics""}","[""kind:skeleton"", ""parent:PAT-003""]",output_patterns_gardenier_prompt_compiler_agent,PAT-003,4
ATOM:output_patterns_gardenier_prompt_compiler_agent:NOTES:PAT-003,rule,notes,No new facts; reformat only,"{""notes"": ""No new facts; reformat only"", ""parent"": ""ATOM:output_patterns_gardenier_prompt_compiler_agent:PROFILE:PAT-003""}","[""kind:notes"", ""parent:PAT-003""]",output_patterns_gardenier_prompt_compiler_agent,PAT-003,4
ATOM:output_patterns_gardenier_prompt_compiler_agent:RISK:PAT-003,value,risk_baseline,low,"{""parent"": ""ATOM:output_patterns_gardenier_prompt_compiler_agent:PROFILE:PAT-003"", ""risk_baseline"": ""low""}","[""kind:risk_baseline"", ""parent:PAT-003""]",output_patterns_gardenier_prompt_compiler_agent,PAT-003,4
ATOM:output_patterns_gardenier_prompt_compiler_agent:OUTPUT_TYPE:PAT-003,value,output_type,SPO_mirror,"{""output_type"": ""SPO_mirror"", ""parent"": ""ATOM:output_patterns_gardenier_prompt_compiler_agent:PROFILE:PAT-003""}","[""kind:output_type"", ""parent:PAT-003""]",output_patterns_gardenier_prompt_compiler_agent,PAT-003,4
ATOM:output_patterns_gardenier_prompt_compiler_agent:PROFILE:PAT-004,rule,output_pattern_profile,Domain Routing Output,"{""_reconstructed_from_len"": 6, ""notes"": ""Used before compilation"", ""output_type"": ""routing_decision"", ""pattern_id"": ""PAT-004"", ""pattern_name"": ""Domain Routing Output"", ""raw_line"": ""PAT-004,routing_decision,Domain Routing Output,\""\""\""domain_type: <value>\\nconfidence: <0-1>\\nreason: <1-2 lines>\\nselected_template_id: <id>\""\""\"",Used before compilation,low"", ""risk_baseline"": ""low"", ""skeleton"": ""domain_type: <value>\\nconfidence: <0-1>\\nreason: <1-2 lines>\\nselected_template_id: <id>""}","[""kind:output_pattern_profile"", ""output_type:routing_decision"", ""pattern_id:PAT-004"", ""risk:low""]",output_patterns_gardenier_prompt_compiler_agent,PAT-004,5
ATOM:output_patterns_gardenier_prompt_compiler_agent:SKELETON:PAT-004,pattern,skeleton,domain_type: <value>\nconfidence: <0-1>\nreason: <1-2 lines>\nselected_template_id: <id>,"{""parent"": ""ATOM:output_patterns_gardenier_prompt_compiler_agent:PROFILE:PAT-004"", ""skeleton"": ""domain_type: <value>\\nconfidence: <0-1>\\nreason: <1-2 lines>\\nselected_template_id: <id>""}","[""kind:skeleton"", ""parent:PAT-004""]",output_patterns_gardenier_prompt_compiler_agent,PAT-004,5
ATOM:output_patterns_gardenier_prompt_compiler_agent:NOTES:PAT-004,rule,notes,Used before compilation,"{""notes"": ""Used before compilation"", ""parent"": ""ATOM:output_patterns_gardenier_prompt_compiler_agent:PROFILE:PAT-004""}","[""kind:notes"", ""parent:PAT-004""]",output_patterns_gardenier_prompt_compiler_agent,PAT-004,5
