signal_id,domain_type,signal_type,trigger_hint,recommended_action,severity
LCS-001,engineering,format,User mentions “API”,“stack trace”,or “logs”,Add Inputs Required: repo/snippet/logs and environment details,medium
LCS-002,engineering,constraint,User says “no breaking changes”,Add constraint: preserve public interfaces and behavior,high
LCS-003,engineering,constraint,User says “performance issue”,Add directive: profile hypotheses + measurable targets,medium
LCS-004,project_spec,preference,User says “one-pager”,Set Output Format to 1-page markdown with bullets,low
LCS-005,decision_analysis,format,User asks “score options”,Add directive: define criteria + weighted scoring table,medium
LCS-006,creative,constraint,User says “no clichés”,Add constraint: ban generic phrases; require concrete imagery,low
LCS-007,marketing_copy,preference,User mentions “landing page”,Set Output Format to sections: hero,benefits,proof,CTA,low
LCS-008,customer_support,risk,User mentions refund/chargeback,Add constraint: no policy invention; ask for policy link,high
LCS-009,legal_comms,risk,User asks “is this legal”,Add constraint: not legal advice; suggest professional counsel,critical
LCS-010,data_ops,constraint,User says “schema must not change”,Add directive: preserve headers; propose migration notes only,high
LCS-011,engineering,assumption,User omits language/runtime version,Add Inputs Required: language + runtime version,medium
LCS-012,engineering,format,User pastes error without context,Request minimal reproduction steps,medium
LCS-013,engineering,constraint,User says “hotfix”,Add directive: minimal change; avoid refactors,high
LCS-014,engineering,preference,User says “example-driven”,Add directive: include runnable examples/tests,low
LCS-015,engineering,risk,User mentions “security vulnerability”,Add constraint: avoid exploit details; recommend responsible disclosure,critical
LCS-016,project_spec,assumption,User omits success metrics,Add System Metrics: acceptance criteria + KPIs,low
LCS-017,project_spec,constraint,User says “fixed deadline”,Add constraint: time-boxed scope; de-prioritize nice-to-haves,medium
LCS-018,project_spec,preference,User says “exec summary”,Add Output Format: summary first,details after,low
LCS-019,decision_analysis,assumption,User provides options but no baseline,Add directive: define status quo baseline,low
LCS-020,decision_analysis,constraint,User says “risk-averse”,Add weighting: penalize downside variance,medium
LCS-021,decision_analysis,preference,User asks “recommend”,Add directive: explicit recommendation + rationale,low
LCS-022,creative,format,User says “storyboard”,Add Output Format: scenes with beats and visuals,low
LCS-023,creative,preference,User says “brand-safe”,Add constraint: avoid shock/controversy; align brand voice,medium
LCS-024,creative,constraint,User says “PG”,Add constraint: family-friendly language,low
LCS-025,creative,risk,User asks to imitate living artist,Add constraint: style abstraction; no direct imitation,high
LCS-026,marketing_copy,constraint,User says “SEO”,Add directive: keyword mapping + headings + meta description,medium
LCS-027,marketing_copy,preference,User says “email campaign”,Add Output Format: subject lines + body variants + CTA,low
LCS-028,marketing_copy,constraint,User says “compliance”,Add constraint: claims substantiated; avoid guarantees,high
LCS-029,customer_support,format,User says “macro response”,Add Output Format: reusable template with variables,low
LCS-030,customer_support,constraint,User says “angry customer”,Add directive: empathy-first; de-escalation steps,medium
