policy_id,domain_type,missing_input_type,default_action,default_value,notes
AP_PROJECT_GOAL,project_spec,goal,ask,,"""Ask for 1-sentence goal. tags:project","goal"""
AP_PROJECT_AUDIENCE,project_spec,audience,minimal_safe_default,"""General stakeholder audience""","""Default audience if unspecified. tags:project","audience"""
AP_PROJECT_SCOPE,project_spec,scope,minimal_safe_default,"""Single product/workstream scope; exclude unrelated systems""","""Bound scope to prevent sprawl. tags:project","scope"""
AP_PROJECT_USERS,project_spec,users,minimal_safe_default,"""End users and internal operators""","""Assume at least these user groups. tags:project","users"""
AP_PROJECT_SUCCESS_METRICS,project_spec,success_metrics,ask,,"""Ask for 3 measurable success metrics. tags:project","metrics"""
AP_PROJECT_NON_GOALS,project_spec,non_goals,minimal_safe_default,"""Include explicit non-goals/out-of-scope list""","""Insert placeholder if missing. tags:project","non_goals"""
AP_PROJECT_CONSTRAINTS,project_spec,constraints,minimal_safe_default,"""No invented facts; flag unknowns; preserve user constraints""","""Baseline constraints for specs. tags:project","constraints"""
AP_PROJECT_TIMELINE,project_spec,timeline,minimal_safe_default,"""No timeline provided""","""Proceed; mark timeline unknown. tags:project","timeline"""
AP_PROJECT_DEPENDENCIES,project_spec,dependencies,ask,,"""Ask key dependencies (teams",vendors,APIs). tags:project,"dependencies"""
AP_PROJECT_RISKS,project_spec,risks,minimal_safe_default,"""Common risks: scope creep; unclear ownership; data quality""","""Replace with real risks when provided. tags:project","risks"""
AP_ENGINEERING_CONTEXT,engineering,data_source,ask,,"""Ask for repo/snippet/logs + environment. tags:eng","inputs"""
AP_ENGINEERING_LANGUAGE,engineering,language,minimal_safe_default,"""Language not specified""","""Provide language-agnostic guidance. tags:eng","language"""
AP_ENGINEERING_RUNTIME,engineering,runtime_version,ask,,"""Ask runtime/framework versions if relevant. tags:eng","versions"""
AP_ENGINEERING_PLATFORM,engineering,platform,minimal_safe_default,"""OS/platform not specified""","""Assume cross-platform; note conditionals. tags:eng","platform"""
AP_ENGINEERING_REPRO,engineering,repro_steps,ask,,"""Ask minimal reproducible steps. tags:eng","repro"""
AP_ENGINEERING_EXPECTED,engineering,expected_behavior,ask,,"""Ask expected vs actual behavior. tags:eng","debug"""
AP_ENGINEERING_ACCEPTANCE,engineering,acceptance_criteria,minimal_safe_default,"""Done = tests pass; no regressions; documented change""","""Use until user defines. tags:eng","done"""
AP_ENGINEERING_CHANGE_POLICY,engineering,breaking_changes,minimal_safe_default,"""Assume no breaking changes unless explicitly allowed""","""Conservative default. tags:eng","compat"""
AP_ENGINEERING_PERF_TARGET,engineering,performance_target,ask,,"""If perf mentioned",ask target metric (latency/throughput/mem). tags:eng,"perf"""
AP_ENGINEERING_SECURITY,engineering,security_constraints,minimal_safe_default,"""No secrets; least privilege; avoid unsafe configs""","""Security baseline. tags:eng","security"""
AP_CREATIVE_STYLE,creative,constraints,minimal_safe_default,"""Constrained; cliché-free; concrete imagery""","""Default creative constraint set. tags:creative","style"""
AP_CREATIVE_FORMAT,creative,format,minimal_safe_default,"""Markdown sections + 3 variants""","""Default packaging for creative output. tags:creative","format"""
AP_CREATIVE_LENGTH,creative,length,minimal_safe_default,"""Medium length""","""Avoid extremes unless asked. tags:creative","length"""
AP_CREATIVE_AUDIENCE,creative,audience,minimal_safe_default,"""General audience""","""Adjust readability to broad audience. tags:creative","audience"""
AP_CREATIVE_VOICE,creative,voice,minimal_safe_default,"""Clear; vivid; controlled playfulness""","""Avoid purple prose. tags:creative","voice"""
AP_CREATIVE_SAFETY,creative,safety_boundary,minimal_safe_default,"""No graphic harm; no sexual content; no wrongdoing instructions""","""Hard safety rails. tags:creative","safety"""
AP_PERSONA_TONE,persona,format,minimal_safe_default,"""Markdown sections with bullets""","""Default persona spec layout. tags:persona","format"""
AP_PERSONA_ROLE,persona,role,ask,,"""Ask role/archetype if missing. tags:persona","role"""
AP_PERSONA_OBJECTIVES,persona,objectives,ask,,"""Ask for 3 primary objectives. tags:persona","objectives"""
AP_PERSONA_FORBIDDEN,persona,forbidden_behaviors,minimal_safe_default,"""No hallucinated capabilities; no tool-claims; no evasion""","""Baseline forbidden behaviors. tags:persona","guardrails"""
AP_PERSONA_BOUNDARIES,persona,boundaries,minimal_safe_default,"""Be helpful; admit uncertainty; ask when ambiguous""","""Baseline interaction policy. tags:persona","boundaries"""
AP_PERSONA_MEMORY_USE,persona,memory_policy,minimal_safe_default,"""Persist info only if user explicitly requests""","""Avoid unprompted memory. tags:persona","memory"""
AP_DECISION_OPTIONS,decision_analysis,examples,ask,,"""Ask for options list before scoring. tags:decision","options"""
AP_DECISION_CRITERIA,decision_analysis,criteria,ask,,"""Ask for criteria; or propose and label as assumptions. tags:decision","criteria"""
AP_DECISION_WEIGHTS,decision_analysis,weights,minimal_safe_default,"""Equal weights""","""Use equal weights unless priorities given. tags:decision","weights"""
AP_DECISION_TIME_HORIZON,decision_analysis,time_horizon,minimal_safe_default,"""Near-term (0-3 months)""","""Default planning horizon. tags:decision","horizon"""
AP_DECISION_RISK_TOLERANCE,decision_analysis,risk_tolerance,minimal_safe_default,"""Medium""","""Default risk appetite. tags:decision","risk"""
AP_CUSTOMER_SUPPORT_PRODUCT,customer_support,product_context,ask,,"""Ask product/service + version. tags:support","context"""
AP_CUSTOMER_SUPPORT_POLICY,customer_support,policy_constraints,required,,"""Policy/legal constraints required; request if absent. tags:support","policy"""
AP_CUSTOMER_SUPPORT_TONE,customer_support,tone,minimal_safe_default,"""Empathetic; concise; action-oriented""","""Default support tone. tags:support","tone"""
AP_MARKETING_BRAND,marketing_copy,brand_voice,ask,,"""Ask brand voice; else offer 3 choices. tags:marketing","brand"""
AP_MARKETING_TARGET,marketing_copy,target_audience,ask,,"""Ask ICP/target audience. tags:marketing","audience"""
AP_MARKETING_CTA,marketing_copy,call_to_action,minimal_safe_default,"""Single clear CTA""","""Avoid multiple competing CTAs. tags:marketing","cta"""
AP_COMPLIANCE_DEFS,compliance_policy,constraints,required,,"""Definitions + scope required for compliance outputs. tags:compliance","scope"""
AP_COMPLIANCE_JURISDICTION,compliance_policy,jurisdiction,ask,,"""Ask jurisdiction if legal/compliance involved. tags:compliance","jurisdiction"""
AP_GENERAL_DEADLINE,ALL,deadline,minimal_safe_default,"""No deadline provided""","""Proceed; flag deadline missing. tags:general","deadline"""
AP_GENERAL_LANGUAGE,ALL,language,minimal_safe_default,"""English""","""Default language unless user indicates otherwise. tags:general","language"""
AP_GENERAL_TIMEZONE,ALL,timezone,minimal_safe_default,"""Europe/Athens""","""Default timezone for date/time. tags:general","timezone"""
AP_SPO_OUTPUT_FORMAT,ALL,output_format,minimal_safe_default,"""Markdown: fixed headings + bullets; include exact requested fields""","""SPO contract compliance. tags:spo","format"""
AP_SPO_TONE,ALL,tone,minimal_safe_default,"""Clear and practical""","""Default tone across templates. tags:spo","tone"""
AP_SPO_BREVITY,ALL,brevity_level,minimal_safe_default,"""Balanced (not terse","not verbose)""","""Adjust only if user requests. tags:spo","brevity"""
AP_TABLES_ALLOWED,ALL,tables_allowed,minimal_safe_default,"""Allowed when it improves clarity""","""Use tables selectively. tags:general","tables"""
AP_CODE_ALLOWED,ALL,code_allowed,minimal_safe_default,"""Allowed when necessary; add comments; avoid unsafe instructions""","""Default code posture. tags:general","code"""
AP_CITATIONS,ALL,citations,minimal_safe_default,"""Only include citations when using external sources""","""Never fabricate citations. tags:general","citations"""
AP_NAMING_CONVENTION,ALL,naming_convention,minimal_safe_default,"""snake_case IDs; stable prefixes""","""Consistency for retrieval/joins. tags:data","naming"""
AP_PRIMARY_KEYS,ALL,primary_key_policy,minimal_safe_default,"""Primary key must be unique and stable""","""No duplicates; no drift. tags:data","pk"""
AP_ID_PREFIX,ALL,id_prefix,minimal_safe_default,"""Use domain prefixes (AP_",VR_,LCS_,"etc.)""","""Prevent ID collisions. tags:data","ids"""
AP_SCHEMA_STABILITY,ALL,schema_changes,minimal_safe_default,"""No schema changes""","""Do not add/remove columns mid-version; bump version for schema. tags:data","schema"""
AP_VERSION_BUMP,ALL,versioning,minimal_safe_default,"""Patch=row changes; minor=schema; major=breaking""","""Default semver policy. tags:release","versioning"""
AP_DATA_PROVENANCE,ALL,provenance,ask,,"""Ask source/assumption for factual/external-derived content. tags:data","provenance"""
AP_DATA_LICENSE,ALL,licensing,ask,,"""Ask desired license before packaging. tags:release","license"""
AP_DATA_PRIVACY,ALL,pii_policy,minimal_safe_default,"""No PII; synthetic only""","""Refuse identifiers; anonymize if needed. tags:data","privacy"""
AP_DATA_DUPLICATES,ALL,dedupe_policy,minimal_safe_default,"""Dedupe by primary_id; never overwrite silently""","""On collision",regenerate ID. tags:data,"dedupe"""
AP_DATA_SORT_ORDER,ALL,ordering,minimal_safe_default,"""Stable sort by primary_id""","""Deterministic diffs. tags:data","ordering"""
AP_DATA_DELIMITERS,ALL,csv_dialect,minimal_safe_default,"""Comma delimiter; double-quote strings""","""Standard CSV dialect. tags:data","csv"""
AP_DATA_ESCAPING,ALL,escaping,minimal_safe_default,"""RFC4180-style quoting""","""Quote commas/newlines/quotes. tags:data","csv"""
AP_DATA_NEWLINES,ALL,newline_policy,minimal_safe_default,"""LF newlines""","""Use \\n consistently. tags:data","format"""
AP_DATA_ENCODING,ALL,encoding,minimal_safe_default,"""UTF-8""","""No BOM; keep non-ASCII. tags:data","encoding"""
AP_DATA_NULLS,ALL,null_handling,minimal_safe_default,"""Empty string for missing""","""Avoid literal 'null' unless schema says so. tags:data","nulls"""
AP_DATA_BOOLS,ALL,boolean_format,minimal_safe_default,"""true/false""","""Lowercase booleans. tags:data","bool"""
AP_DATA_ENUMS,ALL,enum_policy,minimal_safe_default,"""Prefer controlled vocab; document new values""","""Keep enums tight. tags:data","enums"""
AP_DATA_SEVERITY_DEFAULT,ALL,severity,minimal_safe_default,"""medium""","""If unspecified",default medium. tags:data,"severity"""
AP_DATA_RISK_BASELINE,ALL,risk_baseline,minimal_safe_default,"""low""","""If unknown",default low; flag uncertainty. tags:data,"risk"""
