pattern_id,output_type,pattern_name,skeleton,notes,risk_baseline
PAT-001,SPO,Standard SPO Markdown,"""# Goal\n\n# Inputs Required\n\n# Directives\n\n# Constraints\n\n# Output Format\n\n# Tone Policy\n\n# System Metrics""",Canonical full spec skeleton,low
PAT-002,SPO_compact,Compact SPO Markdown,"""# Goal\n- \n# Inputs Required\n- \n# Directives\n- \n# Constraints\n- \n# Output Format\n- \n# Tone Policy\n- \n# System Metrics\n- """,Same headings; compressed bullets,low
PAT-003,SPO_mirror,Mirror-Only SPO,"""# Goal\n\n# Inputs Required\n\n# Directives\n\n# Constraints\n\n# Output Format\n\n# Tone Policy\n\n# System Metrics""",No new facts; reformat only,low
PAT-004,routing_decision,Domain Routing Output,"""domain_type: <value>\nconfidence: <0-1>\nreason: <1-2 lines>\nselected_template_id: <id>""",Used before compilation,low
PAT-005,validation_report,Validation Report,"""checks:\n- rule_id: <id>\n  ok: <true/false>\n  detail: <short>\nsummary: <1-2 lines>""",Text QA output (no execution claims),medium
PAT-006,schema_lint,Schema Lint,"""headings_ok: <true/false>\nmissing_headings: <list>\nextra_headings: <list>""",Prevents heading drift,medium
PAT-007,assumption_plan,Assumption Plan,"""missing_inputs:\n- type: <type>\n  action: <ask/default>\n  default: <value>\nnotes: <short>""",Drive missing-input handling,low
PAT-008,change_log,Change Log,"""changes:\n- section: <heading>\n  before: <short>\n  after: <short>""",Diff summary between SPO versions,low
PAT-009,SPO_strict,Strict SPO Markdown,"""# Goal\n\n# Inputs Required\n\n# Directives\n\n# Constraints\n\n# Output Format\n\n# Tone Policy\n\n# System Metrics\n\n## Open Questions\n- """,Adds explicit questions block (optional),medium
PAT-010,tone_adjustment,Tone Adjustment Output,"""tone_id: <id>\nchanges:\n- <bullet>\nrewritten_sections:\n- Tone Policy""",Tracks tone edits only,low
PAT-011,canonical_row_doc,Canonical Row Doc,"""[ROW]\ndataset=<dataset_name>\nprimary_id=<row_primary_key>\ndomain_type=<optional>\ntitle=<optional short name>\nfields=<key=value pairs","concise>\ndescription=<human-readable summary>""",For embedding/upsert canonicalization; one row -> one doc,low
PAT-012,vector_metadata,Vector Metadata Map,"""dataset_name: <name>\nprimary_id: <id>\ndomain_type: <optional>\nseverity: <optional>\nversion: <semver>\nrisk_baseline: <optional>""",Attach as vector metadata alongside canonical doc,low
PAT-013,stable_vector_id,Stable Vector ID,"""vector_id: gardenier:<dataset_name>:<primary_id>""",Single-line ID convention for deterministic upserts,low
PAT-014,knowledge_map_csv,Knowledge Map CSV,"""source_id",target_id,relation,weight,notes\n<id>,<id>,<relation>,<0-1>,"<short>""",Lightweight linking layer between rows/datasets,low
PAT-015,knowledge_map_json,Knowledge Map JSON,"""{\n  """"nodes"""": [{""""id"""": """"<id>""""","""""type"""": """"<dataset>""""}]","\n  """"edges"""": [{""""source"""": """"<id>""""","""""target"""": """"<id>""""","""""relation"""": """"<rel>""""","""""weight"""": <0-1>}]\n}""",Same as CSV but JSON graph form,medium
PAT-016,dataset_index,Dataset Index,"""datasets:\n- name: <dataset_name>\n  primary_key: <col>\n  row_count: <n>\n  notes: <short>""",Inventory of pack contents; useful for loaders,low
PAT-017,dataset_schema_card,Dataset Schema Card,"""dataset: <name>\nprimary_key: <col>\ncolumns:\n- <col>: <type/notes>\nconstraints:\n- <rule>\nexamples:\n- <row snippet>""",Human-readable schema contract summary,low
PAT-018,dataset_expansion_plan,Dataset Expansion Plan,"""goal: <what to expand>\nstrategy:\n- diversity: <tactics>\n- safety: <constraints>\ncoverage_targets:\n- <dimension>: <target>\nstop_conditions:\n- <condition>""",Planning artifact before generating rows,medium
PAT-019,coverage_matrix,Coverage Matrix,"""dimensions:\n- name: <dim>\n  values: [<v1>","<v2>]\nfilled:\n- <dim_value_combo>\ngaps:\n- <dim_value_combo>""",Helps ensure diversity/coverage in synthetic expansion,medium
PAT-020,qa_summary,QA Summary,"""status: <ok/warn/fail>\nkey_checks:\n- <check>: <result>\nrisks:\n- <risk>\nnext_actions:\n- <action>""",Compact operator-friendly QA snapshot,low
